,1. open,2. high,3. low,4. close,5. volume
2023-09-25 14:10:00,429.576,429.75,429.469,429.536,373228.0
2023-09-25 14:15:00,429.526,429.66,429.304,429.531,450532.0
2023-09-25 14:20:00,429.536,429.62,429.1,429.147,985036.0
2023-09-25 14:25:00,429.158,429.501,429.11,429.252,480594.0
2023-09-25 14:30:00,429.243,429.521,429.09,429.421,438759.0
2023-09-25 14:35:00,429.407,429.939,429.389,429.578,879474.0
2023-09-25 14:40:00,429.586,429.8,429.309,429.406,691875.0
2023-09-25 14:45:00,429.407,429.67,429.319,429.396,389866.0
2023-09-25 14:50:00,429.387,429.561,429.22,429.326,905204.0
2023-09-25 14:55:00,429.317,429.391,429.03,429.097,636616.0
2023-09-25 15:00:00,429.118,429.262,428.373,428.52,989671.0
2023-09-25 15:05:00,428.522,428.594,428.234,428.291,754158.0
2023-09-25 15:10:00,428.286,428.784,428.239,428.769,1123080.0
2023-09-25 15:15:00,428.769,429.61,428.722,429.541,1693046.0
2023-09-25 15:20:00,429.536,429.72,429.18,429.292,1026289.0
2023-09-25 15:25:00,429.292,429.331,428.851,429.316,763241.0
2023-09-25 15:30:00,429.307,429.58,429.07,429.406,754726.0
2023-09-25 15:35:00,429.417,429.829,429.25,429.804,745916.0
2023-09-25 15:40:00,429.81,429.874,429.384,429.426,835810.0
2023-09-25 15:45:00,429.417,429.8,429.399,429.725,1003755.0
2023-09-25 15:50:00,429.715,430.138,429.238,429.406,1413692.0
2023-09-25 15:55:00,429.407,430.527,429.299,430.472,3781610.0
2023-09-26 09:30:00,427.355,427.808,427.268,427.678,2069027.0
2023-09-26 09:35:00,427.679,428.027,427.547,427.882,965008.0
2023-09-26 09:40:00,427.883,428.086,427.557,427.992,1210238.0
2023-09-26 09:45:00,427.963,428.032,427.337,427.374,800389.0
2023-09-26 09:50:00,427.355,427.399,426.869,426.996,1492906.0
2023-09-26 09:55:00,426.996,427.15,426.79,426.966,1024007.0
2023-09-26 10:00:00,426.957,427.21,426.441,426.478,1483042.0
2023-09-26 10:05:00,426.469,427.061,426.371,426.617,1381612.0
2023-09-26 10:10:00,426.618,426.652,425.704,425.751,1470824.0
2023-09-26 10:15:00,425.752,425.856,425.258,425.397,1668916.0
2023-09-26 10:20:00,425.393,425.865,425.355,425.672,1646484.0
